 Offset(V)  Session     WindowStation          Atom  RefCount    HIndex     Pinned   Name
0x1950e7d0     0       Service-0x0-3e4$      0xc015     1          21         1      Close
0x1950e7d0     0       Service-0x0-3e4$      0xc004     1          4          1      StdEditDocument
0x1950e7d0     0       Service-0x0-3e4$      0xc008     1          8          1      StdDoVerbItem
0x1950e7d0     0       Service-0x0-3e4$      0xc003     1          3          1      StdOpenDocument
0x1950e7d0     0       Service-0x0-3e4$      0xc005     1          5          1      StdNewfromTemplate
0x1950e7d0     0       Service-0x0-3e4$      0xc014     1          20         1      Save
0x1950e7d0     0       Service-0x0-3e4$      0xc016     1          22         1      MSDraw
0x1950e7d0     0       Service-0x0-3e4$      0xc002     1          2          1      StdNewDocument
0x1950e7d0     0       Service-0x0-3e4$      0xc00f     1          15         1      Status
0x1950e7d0     0       Service-0x0-3e4$      0xc018     4          24         0      ThemePropScrollBarCtl
0x1950e7d0     0       Service-0x0-3e4$      0xc009     1          9          1      System
0x1950e7d0     0       Service-0x0-3e4$      0xc00b     1          11         1      StdDocumentName
0x1950e7d0     0       Service-0x0-3e4$      0xc013     1          19         1      Change
0x1950e7d0     0       Service-0x0-3e4$      0xc001     1          1          1      StdExit
0x1950e7d0     0       Service-0x0-3e4$      0xc006     1          6          1      StdCloseDocument
0x1950e7d0     0       Service-0x0-3e4$      0xc00a     1          10         1      OLEsystem
0x1950e7d0     0       Service-0x0-3e4$      0xc017     1          23         1      CC32SubclassInfo
0x17930da8 ---------- ------------------     0xc004     1          4          1      Native
0x17930da8 ---------- ------------------     0xc00e     1          14         1      Object Descriptor
0x17930da8 ---------- ------------------     0xc00f     1          15         1      Link Source Descriptor
0x17930da8 ---------- ------------------     0xc017     1          23         1      Button
0x17930da8 ---------- ------------------     0xc044     72         68         0      msctls_updown32
0x17930da8 ---------- ------------------     0xc083     24        131         0      MSIMEMouseOperation
0x17930da8 ---------- ------------------     0xc097     6         151         0      WorkerW
0x17930da8 ---------- ------------------     0xc0af     18        175         0      MSUIM.Msg.StubCleanUp
0x17930da8 ---------- ------------------     0xc0bd     2         189         0      CMBExecute
0x17930da8 ---------- ------------------     0xc0c1     5         193         0      FileContents
0x17930da8 ---------- ------------------     0xc0ff     2         255         0      Microsoft.Webcheck.Dialmon.IEXPLORER_EXITING
0x17930da8 ---------- ------------------     0xc144     2         324         0      application/x-compressed
0x17930da8 ---------- ------------------     0xc153     1         339         0      C:\WINDOWS\system32\psbase.dll
0x17930da8 ---------- ------------------     0xc159     9         345         0      C:\Program Files\Outlook Express\msoeres.dll
0x17930da8 ---------- ------------------     0xc15c     1         348         0      Outlook Express Folder
0x17930da8 ---------- ------------------     0xc16a     2         362         0      ATL:SysListView32
0x17930da8 ---------- ------------------     0xc181     2         385         0      C:\WINDOWS\system32\xpsp2res.dll
0x17930da8 ---------- ------------------     0xc002     1          2          1      ObjectLink
0x17930da8 ---------- ------------------     0xc02d     1          45         1      SysQOS
0x17930da8 ---------- ------------------     0xc04b     72         75         0      SysIPAddress32
0x17930da8 ---------- ------------------     0xc0b3     18        179         0      CicMarshalWndClass
0x17930da8 ---------- ------------------     0xc138     2         312         0      image/tiff
0x17930da8 ---------- ------------------     0xc13b     3         315         0      image/bmp
0x17930da8 ---------- ------------------     0xc141     3         321         0      video/avi
0x17930da8 ---------- ------------------     0xc0d8     1         216         0      WM_QUERY_IDENTITY_CHANGE
0x17930da8 ---------- ------------------     0xc154     2         340         0      OutlookExpressHiddenWindow
0x17930da8 ---------- ------------------     0xc16e     2         366         0      ME_DocHost
0x17930da8 ---------- ------------------     0xc178     1         376         0      text/x-component
0x17930da8 ---------- ------------------     0xc190     2         400         0      MimeEdit_FormatBar
0x17930da8 ---------- ------------------     0xc1a3     2         419         0      SCardUISmartCardCertAvail
0x17930da8 ---------- ------------------     0xc066     28        102         0      6.0.2600.5512!ComboLBox
0x17930da8 ---------- ------------------     0xc096     5         150         0      OLE_MESSAHE
0x17930da8 ---------- ------------------     0xc0c0     3         192         0      Net Resource
0x17930da8 ---------- ------------------     0xc088     5         136         0      XElementUnhandledSyschar
0x17930da8 ---------- ------------------     0xc0fe     2         254         0      Microsoft.Webcheck.Dialmon.SET_CONNECTOID_NAME
0x17930da8 ---------- ------------------     0xc110     4         272         0      C:\WINDOWS\WinSxS\x86_Microsoft.Windows.Common-Controls_6595b64144ccf1df_6.0.2600.5512_x-ww_35d4ce83\comctl32.dll
0x17930da8 ---------- ------------------     0xc12e     2         302         0      application/postscript
0x17930da8 ---------- ------------------     0xc10d     2         269         0      Microsoft Outlook Express HTML Format
0x17930da8 ---------- ------------------     0xc186     2         390         0      RichEdit20W
0x17930da8 ---------- ------------------     0xc1a1     2         417         0      SCardUISmartCardInsertion
0x17930da8 ---------- ------------------     0xc019     1          25         1      Static
0x17930da8 ---------- ------------------     0xc031     1          49         1      SysLayer
0x17930da8 ---------- ------------------     0xc057     28         87         0      6.0.2600.5512!msctls_updown32
0x17930da8 ---------- ------------------     0xc061     28         97         0      6.0.2600.5512!Button
0x17930da8 ---------- ------------------     0xc08a     4         138         0      C:\WINDOWS\system32\MSGINA.dll
0x17930da8 ---------- ------------------     0xc0a3     2         163         0      AVGEMC_CLASS_SRV
0x17930da8 ---------- ------------------     0xc10e     2         270         0      C:\WINDOWS\system32\winsrv.dll
0x17930da8 ---------- ------------------     0xc10f     2         271         0      ConsoleWindowClass
0x17930da8 ---------- ------------------     0xc177     3         375         0      RTF As Text
0x17930da8 ---------- ------------------     0xc185     3         389         0      AC_ItemActivate
0x17930da8 ---------- ------------------     0xc188     1         392         0      QueryCancelAutoPlay
