Pid      Process              Base       InLoad InInit InMem MappedPath
    1052 svchost.exe          0x75310000 True   True   True  \WINDOWS\system32\wbem\esscli.dll
    1052 svchost.exe          0x77920000 True   True   True  \WINDOWS\system32\setupapi.dll
    1052 svchost.exe          0x7df30000 True   True   True  \WINDOWS\system32\rasmans.dll
    1052 svchost.exe          0x77b90000 True   True   True  \WINDOWS\system32\certcli.dll
    1052 svchost.exe          0x5f770000 True   True   True  \WINDOWS\system32\ncobjapi.dll
    1052 svchost.exe          0x753e0000 True   True   True  \WINDOWS\system32\vssapi.dll
    1052 svchost.exe          0x76390000 True   True   True  \WINDOWS\system32\imm32.dll
    1052 svchost.exe          0x76fd0000 True   True   True  \WINDOWS\system32\clbcatq.dll
    1052 svchost.exe          0x77c10000 True   True   True  \WINDOWS\system32\msvcrt.dll
    1052 svchost.exe          0x6fbd0000 True   True   True  \WINDOWS\system32\catsrv.dll
    1052 svchost.exe          0x3f1e0000 True   True   True  \WINDOWS\system32\wbem\wmiprvsd.dll
    1052 svchost.exe          0x74ad0000 True   True   True  \WINDOWS\system32\powrprof.dll
    1052 svchost.exe          0x767f0000 True   True   True  \WINDOWS\system32\schannel.dll
    1052 svchost.exe          0x7e410000 True   True   True  \WINDOWS\system32\user32.dll
    1052 svchost.exe          0x61990000 True   True   True  \WINDOWS\system32\mfcsubs.dll
    1052 svchost.exe          0x73030000 True   True   True  \WINDOWS\system32\wzcsapi.dll
    1052 svchost.exe          0x76e80000 True   True   True  \WINDOWS\system32\rtutils.dll
    1052 svchost.exe          0x59490000 True   True   True  \WINDOWS\system32\wbem\wmisvc.dll
    1052 svchost.exe          0x71aa0000 True   True   True  \WINDOWS\system32\ws2help.dll
    1052 svchost.exe          0x726c0000 True   True   True  \WINDOWS\system32\qutil.dll
    1052 svchost.exe          0x5dcd0000 True   True   True  \WINDOWS\system32\eappprxy.dll
    1052 svchost.exe          0x688f0000 True   True   True  \WINDOWS\system32\hid.dll
    1052 svchost.exe          0x74f00000 True   True   True  \WINDOWS\system32\ssdpapi.dll
    1052 svchost.exe          0x75390000 True   True   True  \WINDOWS\system32\wbem\wbemess.dll
    1052 svchost.exe          0x71b20000 True   True   True  \WINDOWS\system32\mpr.dll
    1052 svchost.exe          0x75130000 True   True   True  \WINDOWS\system32\colbact.dll
    1052 svchost.exe          0x77f60000 True   True   True  \WINDOWS\system32\shlwapi.dll
    1052 svchost.exe          0x7d4b0000 True   True   True  \WINDOWS\system32\dhcpcsvc.dll
    1052 svchost.exe          0x77b40000 True   True   True  \WINDOWS\system32\apphelp.dll
    1052 svchost.exe          0x767c0000 True   True   True  \WINDOWS\system32\w32time.dll
    1052 svchost.exe          0x77dd0000 True   True   True  \WINDOWS\system32\advapi32.dll
    1052 svchost.exe          0x733e0000 True   True   True  \WINDOWS\system32\tapisrv.dll
    1052 svchost.exe          0x68000000 True   True   True  \WINDOWS\system32\rsaenh.dll
    1052 svchost.exe          0x75020000 True   True   True  \WINDOWS\system32\wbem\wmiutils.dll
    1052 svchost.exe          0x76de0000 True   True   True  \WINDOWS\system32\upnp.dll
    1052 svchost.exe          0x66460000 True   True   True  \WINDOWS\system32\ipnathlp.dll
    1052 svchost.exe          0x76080000 True   True   True  \WINDOWS\system32\msvcp60.dll
    1052 svchost.exe          0x75690000 True   True   True  \WINDOWS\system32\wbem\fastprox.dll
    1052 svchost.exe          0x5dca0000 True   True   True  \WINDOWS\system32\onex.dll
    1052 svchost.exe          0x662b0000 True   True   True  \WINDOWS\system32\hnetcfg.dll
    1052 svchost.exe          0x478c0000 True   True   True  \WINDOWS\system32\dot3api.dll
    1052 svchost.exe          0x774e0000 True   True   True  \WINDOWS\system32\ole32.dll
    1052 svchost.exe          0x77710000 True   True   True  \WINDOWS\system32\es.dll
    1052 svchost.exe          0x57d20000 True   True   True  \WINDOWS\system32\ndptsp.tsp
    1052 svchost.exe          0x74f50000 True   True   True  \WINDOWS\system32\msidle.dll
    1052 svchost.exe          0x5cb70000 True   True   True  \WINDOWS\system32\shimeng.dll
    1052 svchost.exe          0x76790000 True   True   True  \WINDOWS\system32\cryptdll.dll
    1052 svchost.exe          0x76da0000 True   True   True  \WINDOWS\system32\browser.dll
    1052 svchost.exe          0x769c0000 True   True   True  \WINDOWS\system32\userenv.dll
    1052 svchost.exe          0x3dfd0000 True   True   True  \WINDOWS\system32\iertutil.dll
    1052 svchost.exe          0x71bf0000 True   True   True  \WINDOWS\system32\samlib.dll
    1052 svchost.exe          0x75200000 True   True   True  \WINDOWS\system32\wbem\repdrvfs.dll
    1052 svchost.exe          0x77690000 True   True   True  \WINDOWS\system32\ntmarta.dll
    1052 svchost.exe          0x72810000 True   True   True  \WINDOWS\system32\eapolqec.dll
    1052 svchost.exe          0x750b0000 True   True   True  \WINDOWS\system32\resutils.dll
    1052 svchost.exe          0x77050000 True   True   True  \WINDOWS\system32\comres.dll
    1052 svchost.exe          0x77c70000 True   True   True  \WINDOWS\system32\msv1_0.dll
    1052 svchost.exe          0x724b0000 True   True   True  \WINDOWS\system32\ntlsapi.dll
    1052 svchost.exe          0x776e0000 True   True   True  \WINDOWS\system32\shsvcs.dll
    1052 svchost.exe          0x71cf0000 True   True   True  \WINDOWS\system32\kerberos.dll
    1052 svchost.exe          0x77300000 True   True   True  \WINDOWS\system32\schedsvc.dll
